SNPID	CHR	POS	BF	LNBF	SEGNUMBER	LOCUS	islet_atac
rs147759921	chr15	62116116	-0.14889	-1.90454750071468	4	C2CD4B	0
rs11852251	chr15	62116299	-0.81069	-0.209869542083672	4	C2CD4B	0
rs190455555	chr15	62116350	-0.38807	-0.946569543260084	4	C2CD4B	0
rs192170969	chr15	62116725	-0.06155	-2.78790542635167	4	C2CD4B	0
rs4774418	chr15	62116866	-0.97029	-0.0301602830948911	4	C2CD4B	0
rs8026228	chr15	62117117	-0.29068	-1.2355322732337	4	C2CD4B	0
rs8026411	chr15	62117222	-0.67282	-0.396277444249171	4	C2CD4B	0
rs141996090	chr15	62117458	-0.21993	-1.51444596507853	4	C2CD4B	0
rs4774420	chr15	62117975	-0.61592	-0.484638194012343	4	C2CD4B	0
rs77260315	chr15	62118307	-0.10242	-2.27867327294773	4	C2CD4B	0
rs875513	chr15	62118475	-0.62892	-0.463751216380062	4	C2CD4B	0
rs12439835	chr15	62118874	-0.74973	-0.288042137267337	4	C2CD4B	0
chr15:62118886:I	chr15	62118886	-0.90794	-0.0965769818593308	4	C2CD4B	0
rs12439912	chr15	62118953	-0.62618	-0.468117409277621	4	C2CD4B	0
rs4774421	chr15	62119357	-0.54467	-0.607575172297985	4	C2CD4B	0
rs117479103	chr15	62119410	-0.51147	-0.670466346336888	4	C2CD4B	0
rs75375709	chr15	62120022	-0.49622	-0.700735902208621	4	C2CD4B	0
rs17205183	chr15	62120235	-0.7668	-0.265529267810648	4	C2CD4B	0
rs55939994	chr15	62120615	-0.83169	-0.184295503745969	4	C2CD4B	0
rs181605267	chr15	62120627	0.09282	-2.37709314516911	4	C2CD4B	0
rs4775438	chr15	62120650	-0.18562	-1.68405370581489	4	C2CD4B	0
rs55956721	chr15	62120770	-0.8024	-0.220148042334411	4	C2CD4B	0
rs148639659	chr15	62120897	-0.5532	-0.592035679191534	4	C2CD4B	0
rs116873818	chr15	62121502	-0.40921	-0.893526807275603	4	C2CD4B	0
rs8023607	chr15	62121608	-0.55007	-0.597709736126834	4	C2CD4B	0
rs141154046	chr15	62121776	-0.16033	-1.83052108778139	4	C2CD4B	0
rs12438629	chr15	62122539	-0.49287	-0.707509831395782	4	C2CD4B	0
rs12906499	chr15	62122798	-0.78369	-0.243741744989415	4	C2CD4B	0
rs185792302	chr15	62123382	-0.00709	-4.9490699384381	4	C2CD4B	0
rs190116361	chr15	62123650	-0.22956	-1.47159084574198	4	C2CD4B	0
rs76089582	chr15	62124526	-0.58864	-0.529940487625673	4	C2CD4B	0
rs35193906	chr15	62124679	-0.87425	-0.134388903038652	4	C2CD4B	0
rs12437560	chr15	62124706	-0.89328	-0.112855197420087	4	C2CD4B	0
rs187706919	chr15	62125072	0.28557	-1.25326809605081	4	C2CD4B	0
rs183522406	chr15	62125407	-0.26194	-1.33963980908088	4	C2CD4B	0
rs147386952	chr15	62125510	-0.19878	-1.61555659344228	4	C2CD4B	0
rs4775440	chr15	62125639	-0.41017	-0.891183571074426	4	C2CD4B	0
rs8026735	chr15	62125859	-0.2002	-1.60843841210102	4	C2CD4B	0
rs28755956	chr15	62126490	-0.2004	-1.60743990977143	4	C2CD4B	1
rs140356513	chr15	62127235	-0.34095	-1.07601944001548	4	C2CD4B	0
rs35970987	chr15	62127444	-0.48874	-0.715924628249934	4	C2CD4B	0
rs191766324	chr15	62127770	-0.3411	-1.07557958955754	4	C2CD4B	1
rs7179032	chr15	62127997	-0.21324	-1.54533698702758	4	C2CD4B	1
rs16944662	chr15	62128257	-0.55275	-0.592849459244581	4	C2CD4B	0
rs192356641	chr15	62128706	-0.33861	-1.08290627634649	4	C2CD4B	0
rs11635438	chr15	62128861	-0.90646	-0.0982083755192126	4	C2CD4B	0
rs9788653	chr15	62129101	-0.52446	-0.645386117161685	4	C2CD4B	0
rs75856736	chr15	62129908	-0.68448	-0.379095853088096	4	C2CD4B	0
rs12901956	chr15	62130726	-0.81144	-0.208944831914397	4	C2CD4B	1
rs146766682	chr15	62130973	-0.30312	-1.19362651227179	4	C2CD4B	0
rs60540251	chr15	62131423	-0.34398	-1.06717176283379	4	C2CD4B	0
rs17205197	chr15	62131733	-0.93732	-0.0647305395719308	4	C2CD4B	0
rs933808	chr15	62131928	-0.27615	-1.28681108263494	4	C2CD4B	0
rs4775441	chr15	62131949	-0.24199	-1.41885887599329	4	C2CD4B	0
rs748667	chr15	62132521	-0.29675	-1.21486524549236	4	C2CD4B	0
rs12898715	chr15	62133614	-0.93999	-0.0618860420725469	4	C2CD4B	0
rs9788635	chr15	62133674	-0.8372	-0.177692288410292	4	C2CD4B	0
rs12898859	chr15	62133678	-0.94425	-0.0573643173895708	4	C2CD4B	0
rs77416319	chr15	62133679	-0.32786	-1.11516859098383	4	C2CD4B	0
chr15:62133689:I	chr15	62133689	-0.93864	-0.0633232598667686	4	C2CD4B	0
rs2216999	chr15	62133731	-0.72447	-0.322314925946224	4	C2CD4B	0
rs17303831	chr15	62134332	-0.3899	-0.941864982993585	4	C2CD4B	0
rs192674136	chr15	62134777	-0.15377	-1.87229729945454	4	C2CD4B	0
rs7168715	chr15	62135139	-0.94675	-0.0547202122002329	4	C2CD4B	0
rs77576425	chr15	62135453	-0.42005	-0.867381527171281	4	C2CD4B	0
rs77530147	chr15	62135464	-0.66093	-0.414107344889554	4	C2CD4B	0
rs79354718	chr15	62135608	-0.5566	-0.585908429890347	4	C2CD4B	0
rs12909692	chr15	62135739	-0.69886	-0.358304842931304	4	C2CD4B	0
rs11632774	chr15	62136332	-0.3786	-0.971275040206915	4	C2CD4B	0
rs142337110	chr15	62136413	-0.38499	-0.954537919057658	4	C2CD4B	0
rs117221088	chr15	62136754	-0.31679	-1.14951618519664	4	C2CD4B	0
rs9920945	chr15	62136913	-0.42165	-0.863579692961486	4	C2CD4B	0
rs138489943	chr15	62136931	-0.08113	-2.51170247257516	4	C2CD4B	0
rs77511263	chr15	62137114	-0.19909	-1.61399829519043	4	C2CD4B	0
rs181102674	chr15	62137131	-0.21746	-1.52574035341253	4	C2CD4B	0
rs10851703	chr15	62137215	-0.42355	-0.859083708104577	4	C2CD4B	0
rs8025282	chr15	62137557	-0.43176	-0.83988540067175	4	C2CD4B	0
rs148687166	chr15	62137593	-0.5918	-0.524586539016028	4	C2CD4B	0
rs190434745	chr15	62137674	-0.31446	-1.15689839694001	4	C2CD4B	0
rs1346035	chr15	62137834	-0.46871	-0.757771038671946	4	C2CD4B	0
rs1346036	chr15	62137876	-0.38834	-0.945874034415829	4	C2CD4B	0
rs150758882	chr15	62137886	-0.20351	-1.59204013525768	4	C2CD4B	0
rs1346037	chr15	62137911	-0.4808	-0.732303895761139	4	C2CD4B	0
rs4774423	chr15	62138440	-0.0774	-2.55876849838646	4	C2CD4B	0
rs12441791	chr15	62138587	-0.45791	-0.781082620728112	4	C2CD4B	0
chr15:62139446:I	chr15	62139446	-0.4841	-0.725463782036488	4	C2CD4B	0
rs72747848	chr15	62139811	-0.47999	-0.733990008630551	4	C2CD4B	0
rs74640137	chr15	62139870	-0.47856	-0.736973684100499	4	C2CD4B	0
rs12441436	chr15	62139993	-0.46023	-0.776028914457345	4	C2CD4B	0
rs3886246	chr15	62140034	-0.46863	-0.75794173447111	4	C2CD4B	0
rs28703148	chr15	62140042	-0.47258	-0.749548234210715	4	C2CD4B	0
rs17271151	chr15	62140189	-0.81102	-0.209462564258346	4	C2CD4B	0
rs79505738	chr15	62140330	-0.34621	-1.06070975161964	4	C2CD4B	0
rs148129728	chr15	62140442	0.4092	-0.893551244904666	4	C2CD4B	0
rs141040199	chr15	62140477	-0.22708	-1.48245290067961	4	C2CD4B	0
rs34388644	chr15	62140841	-0.93321	-0.0691250230757309	4	C2CD4B	0
rs137926346	chr15	62140929	0.35107	-1.0467696452004	4	C2CD4B	0
rs1000598	chr15	62141611	-0.79777	-0.225934943627233	4	C2CD4B	0
rs79340066	chr15	62142081	-0.61769	-0.481768565499883	4	C2CD4B	0
rs113111238	chr15	62142251	-0.42829	-0.84795474275386	4	C2CD4B	0
chr15:62142411:D	chr15	62142411	-0.53316	-0.62893371224632	4	C2CD4B	0
rs73428651	chr15	62142994	-0.05438	-2.91175883977781	4	C2CD4B	0
rs72747849	chr15	62143059	-0.60874	-0.496364031824987	4	C2CD4B	0
rs147281607	chr15	62143310	-0.41091	-0.889381066567298	4	C2CD4B	0
rs118187853	chr15	62143339	0.02868	-3.55155526325072	4	C2CD4B	0
rs12901171	chr15	62143442	-0.56588	-0.569373237391403	4	C2CD4B	0
rs17271158	chr15	62143664	-0.60446	-0.503419781505397	4	C2CD4B	0
rs72747851	chr15	62143679	-0.71681	-0.332944466525872	4	C2CD4B	0
rs72747852	chr15	62143902	-0.59296	-0.522628335885142	4	C2CD4B	0
rs11636504	chr15	62143972	-0.56759	-0.566355951892323	4	C2CD4B	0
rs141365560	chr15	62144210	-0.48486	-0.723895089508726	4	C2CD4B	0
rs72747853	chr15	62144371	-0.59957	-0.511542547360975	4	C2CD4B	0
rs76760079	chr15	62144563	-0.26177	-1.34028902336348	4	C2CD4B	0
rs143030985	chr15	62144940	-0.12109	-2.11122120821586	4	C2CD4B	0
rs191825877	chr15	62144991	-0.34431	-1.06621286462145	4	C2CD4B	0
rs183899795	chr15	62145250	-0.11812	-2.13605422210642	4	C2CD4B	0
rs188432624	chr15	62145327	-0.33205	-1.10246971899541	4	C2CD4B	0
rs11555593	chr15	62145399	-0.89674	-0.108989314011905	4	C2CD4B	0
rs75606182	chr15	62145889	0.11785	-2.1383426496	4	C2CD4B	0
rs11555596	chr15	62145955	-0.91639	-0.087313240727722	4	C2CD4B	0
rs2059470	chr15	62146125	-0.64875	-0.432707844502039	4	C2CD4B	0
rs2059471	chr15	62146155	-0.56424	-0.572275586082213	4	C2CD4B	0
rs17238096	chr15	62146598	-0.89872	-0.106783750198015	4	C2CD4B	0
rs115819951	chr15	62146742	-0.15326	-1.87561945343988	4	C2CD4B	0
rs2241491	chr15	62146969	-0.57496	-0.55345480582195	4	C2CD4B	0
rs62007357	chr15	62146985	-0.56546	-0.570115719791557	4	C2CD4B	0
chr15:62147199:I	chr15	62147199	0.0201	-3.90703546391711	4	C2CD4B	0
rs2241492	chr15	62147207	-0.83031	-0.185956153947103	4	C2CD4B	0
rs114079447	chr15	62147774	0.09878	-2.31486012386966	4	C2CD4B	0
chr15:62148802:I	chr15	62148802	-0.89583	-0.110004616151484	4	C2CD4B	0
rs1052306	chr15	62149045	-0.89642	-0.109346225836168	4	C2CD4B	0
rs183827414	chr15	62149102	-0.11491	-2.16360606571259	4	C2CD4B	0
rs35764401	chr15	62149657	-0.89599	-0.109826026783774	4	C2CD4B	1
rs191365834	chr15	62149662	-0.1851	-1.68685905940269	4	C2CD4B	1
rs3743297	chr15	62149784	-0.90798	-0.0965329270551472	4	C2CD4B	1
rs17238110	chr15	62150364	-0.61969	-0.478535925984682	4	C2CD4B	0
rs1991205	chr15	62151079	-0.58229	-0.540786673564904	4	C2CD4B	0
rs17205225	chr15	62151262	-0.82803	-0.188705893369178	4	C2CD4B	0
rs2098850	chr15	62151431	-0.58173	-0.541748856419501	4	C2CD4B	0
rs72747855	chr15	62151513	-0.62257	-0.473899207166082	4	C2CD4B	0
rs62009074	chr15	62152058	-0.90428	-0.100616232034518	4	C2CD4B	0
rs182208251	chr15	62153156	-0.76386	-0.269370752680528	4	C2CD4B	0
rs72747856	chr15	62153320	-0.61396	-0.48782549953693	4	C2CD4B	0
rs77716404	chr15	62153677	-0.42728	-0.850315742950622	4	C2CD4B	0
rs4775442	chr15	62153856	-0.54521	-0.606584237435087	4	C2CD4B	0
rs189510126	chr15	62154553	0.3865	-0.95062341095466	4	C2CD4B	0
rs74752297	chr15	62154705	-0.48655	-0.720415607714139	4	C2CD4B	0
rs12917238	chr15	62154748	-0.83118	-0.184908901084294	4	C2CD4B	0
rs188252611	chr15	62154775	-0.13368	-2.012306394695	4	C2CD4B	0
rs11629851	chr15	62155087	-0.90452	-0.100350862727344	4	C2CD4B	0
rs11635880	chr15	62156042	-0.90271	-0.102353928861908	4	C2CD4B	0
rs186774143	chr15	62156402	-0.11114	-2.19696461113036	4	C2CD4B	0
rs1559673	chr15	62156514	-0.63835	-0.448868556715777	4	C2CD4B	0
chr15:62157076:D	chr15	62157076	-0.61862	-0.480264088183647	4	C2CD4B	0
rs8034185	chr15	62157151	-0.82448	-0.193002394402223	4	C2CD4B	0
rs4775446	chr15	62157366	-0.61023	-0.493919343699632	4	C2CD4B	0
rs17303866	chr15	62157461	-0.63745	-0.450279436398006	4	C2CD4B	0
rs17303873	chr15	62157573	-0.61664	-0.483469893756136	4	C2CD4B	0
rs12915283	chr15	62157579	-0.90075	-0.104527529353934	4	C2CD4B	0
rs188053714	chr15	62157635	0.22018	-1.51330988533988	4	C2CD4B	0
rs141989687	chr15	62157769	-0.46295	-0.770136222088081	4	C2CD4B	0
rs79267487	chr15	62157839	-0.39627	-0.925659481878255	4	C2CD4B	0
rs17238127	chr15	62158088	-0.62771	-0.465677002608237	4	C2CD4B	0
rs192661442	chr15	62158521	0.2915	-1.23271527319159	4	C2CD4B	0
rs149084217	chr15	62158736	0.97088	-0.0295524022620243	4	C2CD4B	0
rs117034192	chr15	62159690	-0.47515	-0.744124735324813	4	C2CD4B	0
rs181961510	chr15	62159818	-0.19385	-1.6406706148652	4	C2CD4B	0
rs186366555	chr15	62159875	-0.29484	-1.22132244266105	4	C2CD4B	0
rs12901481	chr15	62160453	-0.82537	-0.191923508338242	4	C2CD4B	0
chr15:62160676:D	chr15	62160676	-0.89085	-0.115579215852158	4	C2CD4B	0
rs12591667	chr15	62160742	-0.5811	-0.542832419901077	4	C2CD4B	0
rs7163441	chr15	62160758	-0.55272	-0.592903734801598	4	C2CD4B	0
rs11636652	chr15	62161478	-0.89024	-0.116264189687114	4	C2CD4B	0
rs145642983	chr15	62162095	-0.41542	-0.878465222334175	4	C2CD4B	0
rs8032681	chr15	62162243	-0.89797	-0.107618618810366	4	C2CD4B	0
rs12908081	chr15	62162264	-0.89837	-0.107173268813582	4	C2CD4B	0
rs117350979	chr15	62162366	-0.43149	-0.84051094369823	4	C2CD4B	0
rs12708468	chr15	62162591	-0.6062	-0.500545314358434	4	C2CD4B	0
rs11638344	chr15	62163055	-0.54752	-0.602356288278308	4	C2CD4B	0
rs11638455	chr15	62163168	-0.87084	-0.138297015904091	4	C2CD4B	0
rs11629559	chr15	62163547	-0.88722	-0.119662300368686	4	C2CD4B	0
rs145106201	chr15	62164267	-0.28493	-1.25551174291664	4	C2CD4B	1
rs188426217	chr15	62164389	-0.23484	-1.44885084778615	4	C2CD4B	1
rs11631013	chr15	62164813	-0.5636	-0.573410498957612	4	C2CD4B	0
rs78581319	chr15	62164863	-0.7158	-0.334354480650212	4	C2CD4B	0
rs12438431	chr15	62165127	-0.54231	-0.611917485327264	4	C2CD4B	0
rs17303887	chr15	62165553	-0.88585	-0.121207642935691	4	C2CD4B	0
rs17303894	chr15	62165577	-0.89008	-0.116443932655154	4	C2CD4B	0
rs77137589	chr15	62165688	-0.19189	-1.65083298780049	4	C2CD4B	0
rs185760837	chr15	62165759	-0.13898	-1.97342524109596	4	C2CD4B	0
rs138507345	chr15	62166276	-0.59149	-0.525110501877359	4	C2CD4B	0
rs187504427	chr15	62166384	-0.46714	-0.761126280372806	4	C2CD4B	0
rs62009076	chr15	62166475	-0.81579	-0.203598310080157	4	C2CD4B	0
rs77861797	chr15	62166697	-0.26459	-1.32957382091039	4	C2CD4B	0
